StartNodeType,StartNode,RelationshipType,EndNode,EndNodeType
['Identity'],49,CONTAINS,计算机,['Keyword']
['Identity'],49,CONTAINS,项目经验,['Keyword']
['Identity'],49,CONTAINS,大三,['Keyword']
['Identity'],49,CONTAINS,大四,['Keyword']
['Identity'],49,CONTAINS,维护,['Keyword']
['Identity'],50,CONTAINS,前端,['Keyword']
['Identity'],50,CONTAINS,后端,['Keyword']
['Identity'],50,CONTAINS,软件,['Keyword']
['Identity'],50,CONTAINS,实习,['Keyword']
['Identity'],50,CONTAINS,硬件,['Keyword']
['Identity'],50,CONTAINS,全栈,['Keyword']
['Identity'],50,CONTAINS,设计,['Keyword']
['Identity'],50,CONTAINS,HTML,['Keyword']
['Identity'],50,CONTAINS,CSS,['Keyword']
['Identity'],50,CONTAINS,UI,['Keyword']
['Identity'],50,CONTAINS,AJAX,['Keyword']
['Identity'],50,CONTAINS,JAVA,['Keyword']
['Identity'],51,CONTAINS,前端,['Keyword']
['Identity'],51,CONTAINS,HTML,['Keyword']
['Identity'],52,CONTAINS,网络工程,['Keyword']
['Identity'],53,CONTAINS,实习,['Keyword']
['Identity'],53,CONTAINS,小程序,['Keyword']
['Identity'],53,CONTAINS,设计,['Keyword']
['Identity'],53,CONTAINS,ps,['Keyword']
['Identity'],54,CONTAINS,计算机,['Keyword']
['Identity'],54,CONTAINS,前端,['Keyword']
['Identity'],54,CONTAINS,后端,['Keyword']
['Identity'],54,CONTAINS,浏览器兼容,['Keyword']
['Identity'],54,CONTAINS,沟通,['Keyword']
['Identity'],54,CONTAINS,HTML,['Keyword']
['Identity'],54,CONTAINS,JavaScript,['Keyword']
['Identity'],54,CONTAINS,CSS,['Keyword']
['Identity'],54,CONTAINS,Vue,['Keyword']
['Identity'],54,CONTAINS,UI,['Keyword']
['Identity'],54,CONTAINS,AJAX,['Keyword']
['Identity'],54,CONTAINS,Elementui，Uview，Vant,['Keyword']
['Identity'],54,CONTAINS,Bootstrap,['Keyword']
['Identity'],54,CONTAINS,app,['Keyword']
['Identity'],55,CONTAINS,计算机,['Keyword']
['Identity'],55,CONTAINS,前端,['Keyword']
['Identity'],55,CONTAINS,设计,['Keyword']
['Identity'],55,CONTAINS,沟通,['Keyword']
['Identity'],55,CONTAINS,HTML,['Keyword']
['Identity'],55,CONTAINS,JavaScript,['Keyword']
['Identity'],55,CONTAINS,CSS,['Keyword']
['Identity'],55,CONTAINS,Vue,['Keyword']
['Identity'],55,CONTAINS,维护,['Keyword']
['Identity'],56,CONTAINS,前端,['Keyword']
['Identity'],56,CONTAINS,后端,['Keyword']
['Identity'],56,CONTAINS,HTML,['Keyword']
['Identity'],56,CONTAINS,CSS,['Keyword']
['Identity'],56,CONTAINS,Vue,['Keyword']
['Identity'],56,CONTAINS,element,['Keyword']
['Identity'],56,CONTAINS,web,['Keyword']
['Identity'],56,CONTAINS,UI,['Keyword']
['Identity'],56,CONTAINS,AJAX,['Keyword']
['Identity'],56,CONTAINS,ant-design,['Keyword']
['Identity'],58,CONTAINS,计算机,['Keyword']
['Identity'],58,CONTAINS,前端,['Keyword']
['Identity'],58,CONTAINS,移动端,['Keyword']
['Identity'],58,CONTAINS,沟通,['Keyword']
['Identity'],58,CONTAINS,HTML,['Keyword']
['Identity'],58,CONTAINS,JavaScript,['Keyword']
['Identity'],58,CONTAINS,CSS,['Keyword']
['Identity'],58,CONTAINS,uni-app,['Keyword']
['Identity'],58,CONTAINS,Vue,['Keyword']
['Identity'],58,CONTAINS,维护,['Keyword']
['Identity'],58,CONTAINS,web,['Keyword']
['Identity'],58,CONTAINS,iview,['Keyword']
['Identity'],58,CONTAINS,Antd,['Keyword']
['Identity'],58,CONTAINS,PC,['Keyword']
['Identity'],58,CONTAINS,app,['Keyword']
['Identity'],59,CONTAINS,前端,['Keyword']
['Identity'],59,CONTAINS,移动端,['Keyword']
['Identity'],59,CONTAINS,沟通,['Keyword']
['Identity'],59,CONTAINS,HTML,['Keyword']
['Identity'],59,CONTAINS,JavaScript,['Keyword']
['Identity'],59,CONTAINS,CSS,['Keyword']
['Identity'],59,CONTAINS,web,['Keyword']
['Identity'],60,CONTAINS,计算机,['Keyword']
['Identity'],60,CONTAINS,前端,['Keyword']
['Identity'],60,CONTAINS,小程序,['Keyword']
['Identity'],60,CONTAINS,HTML,['Keyword']
['Identity'],60,CONTAINS,uni-app,['Keyword']
['Identity'],60,CONTAINS,Vue,['Keyword']
['Identity'],60,CONTAINS,web,['Keyword']
['Identity'],60,CONTAINS,app,['Keyword']
['Identity'],61,CONTAINS,前端,['Keyword']
['Identity'],61,CONTAINS,HTML,['Keyword']
['Identity'],61,CONTAINS,CSS,['Keyword']
['Identity'],61,CONTAINS,Bootstrap,['Keyword']
['Identity'],61,CONTAINS,PC,['Keyword']
['Identity'],62,CONTAINS,前端,['Keyword']
